Begrip;Uitleg
beroepsbevolking (= aanbod van arbeid);Iedereen tussen 15 en 75 jaar die betaald werk doet of ernaar op zoek is.
werkgelegenheid (= vraag naar arbeid);Alle bezette en onbezette arbeidsplaatsen bij elkaar.
werkgelegenheid in arbeidsjaren;Werkgelegenheid uitgedrukt in voltijdbanen (meer dan 35 uur per week).
vacature;Onbezette arbeidsplaats.
arbeidsjaar;De tijd die iemand met een voltijdbaan gedurende één jaar werkt.
arbeidsmarkt;Het aanbod van arbeid en de vraag naar arbeid bij elkaar.
krappe arbeidsmarkt;De arbeidsvraag is groter dan het arbeidsaanbod.
ruime arbeidsmarkt;Het arbeidsaanbod is groter dan de arbeidsvraag.
regionale werkloosheid;Het werkloosheidspercentage in een bepaald gebied ligt beduidend boven het gemiddelde.
seizoenwerkloosheid;Werkloosheid door het verdwijnen van werkgelegenheid in bepaalde seizoenen.
structurele werkloosheid;Hardnekkige werkloosheid die ontstaat door veranderingen bij de productie en doordat vraag naar arbeid niet aansluit op aanbod van arbeid.
frictiewerkloosheid;Werkloosheid die ontstaat doordat het tijd kost om werk te zoeken na school of een vorige baan.
concurrentiepositie;De positie van een producent in de strijd om de gunst van de klant.
bedrijfstijd;Het aantal uren dat een bedrijf produceert.
arbeidsduurverkorting (adv);Vermindering van het aantal arbeidsuren per werknemer.
bestedingen;Uitgaven voor de aankoop van producten.
laagconjunctuur;Periode waarin de productie in een land niet groeit.
conjuncturele werkloosheid;Werkloosheid die ontstaat door een daling van de vraag naar goederen en diensten.
hoogconjunctuur;Periode waarin de productie van een land stevig groeit.
loon-prijsspiraal;Situatie waarbij hogere prijzen leiden tot hogere lonen en hogere lonen leiden tot hogere prijzen.
loonkostensubsidie;Bedrag dat de overheid aan de werkgever betaalt als bijdrage in de loonkosten van een werknemer.
